Old,New
Chairman,Chairperson
Man hours,Work hours
Manforce,Workforce
guys,folks
ladies and gentlemen,team
Husband,Partner / Significant other
Wife,Partner / Significant other
Boyfriend,Partner / Significant other
Girlfriend,Partner / Significant other
Gypped ,Duped
Guru,Expert
tribe,group
blacklist,blocklist
minority,marginalized
minority group,underrepresented group
disabled,person with disabilities
handicapped,person with disabilities
wheelchair bound,wheelchair user
businessman,businessperson
foreman,foreperson
salesman,salesperson
mailman,postal worker
manned,crewed
stewardess,flight attendant
maid,housekeeper
granddaughter,grandchild
grandson,grandchild
congressman,legislator
freshman,first-year student
man made,synthetic
man,person
woman,person
boy ,child
girl ,child
mother ,parent
father,parent
waiter,server
waitress,server
actor,performer
actress,performer
fireman,firefighter
policeman,police officer
dude,friend
common man,average person
kinsmen,relatives
man up,toughen up
mankind,humankind
elderly,older adults
senior citizens,older adults
killing it,great job
latino,latinx
latina,latinx 
sexual preference,sexual orientation